Edad,Ingreso Mensual,Calificacion,Modalidad Escolar,Dependientes,Recurses,Nivel economico,Becas Adicionales,Beca Valida
0.9,0.767198361,0.3730964467,1,0,0.7368421053,1,0.5,0
0.2,0.9830433183,0.8248730964,0,0,0.3157894737,1,0,0
0.3,0.2423994628,0.3629441624,1,1,0,0,0.5,1
0.2,0.5068150797,0.6446700508,0,1,0.05263157895,0,0.5,1
1,0.1344992983,0.6776649746,0,0,0.2631578947,0,0.5,1
0.4,0.3055594462,0.8883248731,1,0,0.1578947368,0,0,1
0.2,0.359279178,0.6395939086,1,0.5,0.9473684211,0,0.5,0
0.1,0.9062675938,0.6700507614,1,0.5,0.5789473684,0.5,1,1
1,0.913962537,0.6395939086,1,0,0.5789473684,1,1,0
1,0.9215270283,0.5812182741,1,0,0.5263157895,1,1,0
0.2,0.1086712036,0.05329949239,0,0.5,0.9473684211,0,0,0
0.6,0.253737789,0.7817258883,1,1,0.4736842105,0,1,1
0.4,0.9678710806,0.3274111675,0,0,1,1,0,0
0.3,0.3139729045,0,0,0,0.3684210526,0.5,1,0
0.2,0.6084810186,0.3096446701,0,0.5,0.1578947368,0.5,0,0
0.3,0.6550183457,0.9568527919,0,1,0.7894736842,0,0.5,0
0.2,0.3949388799,0.2385786802,0,0,0.2105263158,0.5,0,0
0.3,0.5557801845,0.02030456853,1,0.5,0.1578947368,0,0.5,0
0.2,0.7425642441,0.8197969543,1,0.5,0.1578947368,0.5,0.5,1
0.8,0.7736344437,0.6827411168,1,0,0.3684210526,1,0,0
0.3,0.7561593875,0.4035532995,1,0,0.7368421053,1,0,0
0.2,0,0.1091370558,1,0.5,0.7368421053,0,1,0
0.5,0.184558139,0.1675126904,0,0,0,0,0,1
0.7,0.8489412115,0.6903553299,1,0.5,0,0.5,1,0
0.8,0.8319230801,0.1878172589,0,0.5,0,0.5,0,1
